Mes,Windsurf,Kitesurf
2004-01,51,39
2004-02,48,37
2004-03,55,43
2004-04,64,52
2004-05,69,58
2004-06,80,63
2004-07,90,76
2004-08,100,71
2004-09,68,61
2004-10,47,47
2004-11,38,38
2004-12,38,37
2005-01,43,40
2005-02,41,38
2005-03,46,43
2005-04,52,48
2005-05,62,58
2005-06,73,59
2005-07,79,67
2005-08,74,67
2005-09,54,49
2005-10,43,42
2005-11,35,37
2005-12,33,36
2006-01,35,37
2006-02,33,35
2006-03,37,38
2006-04,44,47
2006-05,51,52
2006-06,54,53
2006-07,68,62
2006-08,63,62
2006-09,47,49
2006-10,37,41
2006-11,30,34
2006-12,27,33
2007-01,30,34
2007-02,30,32
2007-03,32,37
2007-04,37,42
2007-05,43,48
2007-06,49,52
2007-07,55,58
2007-08,53,59
2007-09,40,47
2007-10,28,35
2007-11,25,31
2007-12,24,31
2008-01,27,32
2008-02,25,31
2008-03,29,35
2008-04,31,37
2008-05,36,42
2008-06,38,44
2008-07,48,52
2008-08,51,61
2008-09,33,42
2008-10,23,32
2008-11,22,29
2008-12,19,26
2009-01,22,29
2009-02,21,28
2009-03,24,30
2009-04,26,36
2009-05,32,41
2009-06,35,44
2009-07,41,50
2009-08,42,49
2009-09,30,39
2009-10,23,31
2009-11,20,27
2009-12,17,25
2010-01,18,25
2010-02,19,28
2010-03,20,28
2010-04,23,31
2010-05,26,34
2010-06,28,35
2010-07,35,44
2010-08,34,45
2010-09,24,33
2010-10,19,28
2010-11,16,25
2010-12,14,22
2011-01,15,25
2011-02,16,24
2011-03,16,24
2011-04,19,28
2011-05,23,31
2011-06,25,35
2011-07,30,39
2011-08,30,39
2011-09,21,30
2011-10,16,25
2011-11,13,21
2011-12,13,21
2012-01,14,23
2012-02,13,21
2012-03,14,24
2012-04,17,26
2012-05,19,31
2012-06,21,31
2012-07,28,37
2012-08,30,36
2012-09,19,29
2012-10,15,23
2012-11,12,19
2012-12,11,18
2013-01,12,20
2013-02,11,19
2013-03,12,20
2013-04,14,22
2013-05,16,26
2013-06,19,28
2013-07,23,33
2013-08,24,34
2013-09,16,25
2013-10,13,20
2013-11,11,19
2013-12,10,16
2014-01,11,18
2014-02,11,18
2014-03,11,19
2014-04,13,22
2014-05,15,23
2014-06,17,25
2014-07,21,29
2014-08,22,32
2014-09,16,22
2014-10,12,19
2014-11,10,16
2014-12,9,16


