Mes,Windsurf,Kitesurf
2015-01,10,18
2015-02,10,17
2015-03,10,18
2015-04,12,20
2015-05,14,22
2015-06,16,24
2015-07,20,28
2015-08,20,29
2015-09,13,21
2015-10,10,16
2015-11,9,15
2015-12,9,15
2016-01,9,16
2016-02,9,16
2016-03,10,16
2016-04,11,17
2016-05,13,20
2016-06,14,20
2016-07,17,24
2016-08,21,26
2016-09,13,20
2016-10,10,16
2016-11,8,14
2016-12,8,13
2017-01,8,15
2017-02,8,17
2017-03,9,15
2017-04,10,17
2017-05,12,18
2017-06,14,22
2017-07,17,24
2017-08,17,25
2017-09,11,18
2017-10,9,16
2017-11,8,14
2017-12,7,12
2018-01,8,15
2018-02,8,14
2018-03,8,14
2018-04,9,16
2018-05,11,17
2018-06,12,18
2018-07,17,22
2018-08,18,24
